X,Y,fid,objectid,cam_num,notes,location,proj,xcoord,ycoord,created_us,created_da,last_edite,last_edi_1
-8528128.0562,4768300.95290001,1,1,535, ,Greenmount  - 30th,BPD Cameras,-76.60947777,39.32478055, , , , 
-8528244.6324,4764599.296,2,2,2508, ,JFX North,BPD Cameras,-76.610525,39.29905277, , , , 
-8528260.4026,4764887.80200002,3,3,2507, ,JFX south,BPD Cameras,-76.61066666,39.30105833, , , , 
-8528267.2055,4764917.37240002,4,4,2506, ,Fallsway and Eager,BPD Cameras,-76.61072777,39.30126388, , , , 
-8528167.018,4765048.44200001,5,5,2505, ,Warden St Lot,BPD Cameras,-76.60982777,39.30217499, , , , 
-8527986.4331,4764883.4065,6,6,2504, ,Eager St(widows Peak),BPD Cameras,-76.60820555,39.30102777, , , , 
-8528251.7445,4764410.2931,7,7,2503, ,Monument and Fallsway,BPD Cameras,-76.61058888,39.29773888, , , , 
-8528067.7581,4764562.9336,8,8,2502, ,Madison and Constitution,BPD Cameras,-76.60893611,39.29879999, , , , 
-8534766.7177,4765475.22920001,9,9,930, ,Rosedale - Brighton,BPD Cameras,-76.66911388,39.30514166, , , , 
-8533855.1347,4764791.899,10,10,932, ,Riggs - Braddish,BPD Cameras,-76.66092499,39.30039166, , , , 
-8534139.9271,4764778.3126,11,11,931, ,Riggs - Dukeland,BPD Cameras,-76.66348333,39.30029722, , , , 
-8530802.3625,4765361.0763,12,12,1113, ,Division St - Islamic Way,BPD Cameras,-76.63350148,39.30434818, , , , 
-8531148.8342,4762811.70170001,13,13,1029, ,Lombard & Carrolton,BPD Cameras,-76.63661388,39.286625, , , , 
-8530587.7967,4765131.6003,14,14,1118, ,Division St - Mosher St,BPD Cameras,-76.631574,39.30275305, , , , 
-8528708.1544,4762464.528,15,15,1920, ,Charles and Conway,BPD Cameras,-76.61468888,39.28421111, , , , 
-8529038.4023,4762442.9549,16,16,1931, ,Sharp and Conway,BPD Cameras,-76.61765555,39.28406111, , , , 
-8529126.5302,4761615.22160001,17,17,1922, ,182 Hamburg st,BPD Cameras,-76.61844722,39.27830555, , , , 
-8530917.9809,4764820.6318,18,18,1116, ,Mosher St - Argyle St,BPD Cameras,-76.63454009,39.3005914, , , , 
-8530802.3625,4765361.0763,19,19,1113, ,Division St - Islamic Way,BPD Cameras,-76.63350148,39.30434818, , , , 
-8530914.4637,4765472.40580001,20,20,1111, ,Division - Laurens,BPD Cameras,-76.6345085,39.30512204, , , , 
-8531129.7971,4765698.277,21,21,1107, ,Division - Presstman,BPD Cameras,-76.63644287,39.30669205, , , , 
-8531667.216,4765833.1268,22,22,1102, ,Carey St - Baker St,BPD Cameras,-76.64127059,39.30762937, , , , 
-8525146.4996,4765422.767,23,23,625, ,Milton & E Biddle St,BPD Cameras,-76.58269399,39.304777, , , , 
-8530992.7997,4765224.9998,24,24,1966, ,Avenue Market Parking Lot,BPD Cameras,-76.6352122,39.30340229, , , , 
-8529418.9417,4763440.3841,25,25,01, ,Eutaw-Lexington Market,BPD Cameras,-76.62107399,39.290996, , , , 
-8529411.7515,4763353.9863,26,26,02, ,Eutaw-Fayette,BPD Cameras,-76.6210094,39.29039532, , , , 
-8529409.0343,4763199.8951,27,27,03, ,Eutaw-Baltimore,BPD Cameras,-76.620985,39.289324, , , , 
-8529404.91549999,4763106.9804,28,28,04, ,Eutaw-Redwood,BPD Cameras,-76.620948,39.28867799, , , , 
-8529394.4514,4762941.5773,29,29,05, ,Eutaw-Lombard,BPD Cameras,-76.62085399,39.287528, , , , 
-8529374.5253,4762613.22390001,30,30,06, ,Eutaw-Camden,BPD Cameras,-76.620675,39.285245, , , , 
-8529536.3838,4762758.7739,31,31,07, ,Paca-Pratt,BPD Cameras,-76.622129,39.28625699, , , , 
-8529701.9159,4762925.3248,32,32,08, ,Greene-Lombard,BPD Cameras,-76.623616,39.287415, , , , 
-8529710.7101,4763185.2243,33,33,09, ,Greene-Baltimore,BPD Cameras,-76.62369499,39.28922199, , , , 
-8529719.8384,4763345.0221,34,34,10, ,Greene-Fayette,BPD Cameras,-76.623777,39.290333, , , , 
